"All Cancer Sites Combined"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
Female,"Black (includes Hispanic)","Ages 40-64","All Stages",65.2259,0.2300,64.7730,65.6746
Female,"Black (includes Hispanic)","Ages 65-74","All Stages",55.9680,0.4033,55.1736,56.7544
Female,"Black (includes Hispanic)","Ages 75+","All Stages",39.6205,0.4998,38.6400,40.5990
Female,"Black (includes Hispanic)","Ages < 20","All Stages",79.6562,1.1249,77.3458,81.7594
Female,"Hispanic (any race)","All Ages","All Stages",68.1911,0.1616,67.8732,68.5066
Female,"Hispanic (any race)","Ages < 50","All Stages",81.7749,0.2253,81.3285,82.2118
Female,"Hispanic (any race)","Ages 50-64","All Stages",71.5183,0.2661,70.9929,72.0362
Female,"Hispanic (any race)","Ages 65+","All Stages",51.8371,0.3157,51.2164,52.4538
Female,"Hispanic (any race)","Ages <15","All Stages",83.2134,0.8113,81.5544,84.7375
Female,"Hispanic (any race)","Ages 15-39","All Stages",83.4281,0.3420,82.7455,84.0864
Female,"Hispanic (any race)","Ages 40-64","All Stages",74.5427,0.2072,74.1340,74.9460
Female,"Hispanic (any race)","Ages 65-74","All Stages",61.4990,0.4006,60.7085,62.2789
Female,"Hispanic (any race)","Ages 75+","All Stages",40.6756,0.4866,39.7207,41.6279
Female,"Hispanic (any race)","Ages < 20","All Stages",83.8612,0.6712,82.4965,85.1293
Female,"Non-Hispanic White","All Ages","All Stages",68.7081,0.0697,68.5712,68.8445
Female,"Non-Hispanic White","Ages < 50","All Stages",86.2487,0.1120,86.0275,86.4667
Female,"Non-Hispanic White","Ages 50-64","All Stages",74.9576,0.1038,74.7534,75.1605
Female,"Non-Hispanic White","Ages 65+","All Stages",58.2661,0.1149,58.0405,58.4910
Female,"Non-Hispanic White","Ages <15","All Stages",85.9643,0.5950,84.7528,87.0869
Female,"Non-Hispanic White","Ages 15-39","All Stages",89.4169,0.1710,89.0767,89.7470
Female,"Non-Hispanic White","Ages 40-64","All Stages",77.2963,0.0868,77.1257,77.4658
Female,"Non-Hispanic White","Ages 65-74","All Stages",66.2126,0.1435,65.9305,66.4929
Female,"Non-Hispanic White","Ages 75+","All Stages",50.7030,0.1788,50.3521,51.0528
Female,"Non-Hispanic White","Ages < 20","All Stages",87.4314,0.4552,86.5093,88.2949
Female,"White (includes Hispanic)","All Ages","All Stages",68.6149,0.0643,68.4887,68.7407
Female,"White (includes Hispanic)","Ages < 50","All Stages",85.2262,0.1012,85.0266,85.4234
Female,"White (includes Hispanic)","Ages 50-64","All Stages",74.4681,0.0970,74.2773,74.6577
Female,"White (includes Hispanic)","Ages 65+","All Stages",57.5849,0.1083,57.3722,57.7969
Female,"White (includes Hispanic)","Ages <15","All Stages",85.0661,0.4840,84.0896,85.9878
Female,"White (includes Hispanic)","Ages 15-39","All Stages",87.8720,0.1558,87.5630,88.1738
Female,"White (includes Hispanic)","Ages 40-64","All Stages",76.8599,0.0803,76.7021,77.0168
Female,"White (includes Hispanic)","Ages 65-74","All Stages",65.6681,0.1354,65.4019,65.9328
Female,"White (includes Hispanic)","Ages 75+","All Stages",49.7374,0.1685,49.4066,50.0672
Female,"White (includes Hispanic)","Ages < 20","All Stages",86.2828,0.3808,85.5176,87.0107
Male,"All Races (includes Hispanic)","All Ages","All Stages",66.3328,0.0587,66.2177,66.4477
Male,"All Races (includes Hispanic)","Ages < 50","All Stages",75.3119,0.1321,75.0518,75.5697
Male,"All Races (includes Hispanic)","Ages 50-64","All Stages",68.7797,0.0854,68.6120,68.9467
Male,"All Races (includes Hispanic)","Ages 65+","All Stages",62.3407,0.0933,62.1575,62.5233
Male,"All Races (includes Hispanic)","Ages <15","All Stages",83.2881,0.4147,82.4573,84.0834
Male,"All Races (includes Hispanic)","Ages 15-39","All Stages",80.5610,0.1998,80.1659,80.9492
Male,"All Races (includes Hispanic)","Ages 40-64","All Stages",69.0976,0.0777,68.9451,69.2497
Male,"All Races (includes Hispanic)","Ages 65-74","All Stages",68.9360,0.1082,68.7234,69.1475
Male,"All Races (includes Hispanic)","Ages 75+","All Stages",52.8615,0.1674,52.5328,53.1891
Male,"All Races (includes Hispanic)","Ages < 20","All Stages",82.9921,0.3456,82.3027,83.6574
Male,"American Indian / Alaska Native (includes Hispanic)","All Ages","All Stages",54.8377,0.9068,53.0415,56.5955
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 50","All Stages",69.0713,1.7721,65.4494,72.3965
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64","All Stages",54.3733,1.3734,51.6401,57.0211
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65+","All Stages",49.2476,1.5288,46.2160,52.2043
Male,"American Indian / Alaska Native (includes Hispanic)","Ages <15","All Stages",80.5123,4.4539,69.9458,87.6828
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39","All Stages",77.7229,2.3669,72.6609,81.9652
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64","All Stages",55.1693,1.2346,52.7143,57.5520
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74","All Stages",54.5127,1.8236,50.8659,58.0081
Male,"American Indian / Alaska Native (includes Hispanic)","Ages 75+","All Stages",39.8160,2.7693,34.3754,45.1947
Male,"American Indian / Alaska Native (includes Hispanic)","Ages < 20","All Stages",77.9947,3.9172,69.1210,84.5989
Male,"Asian / Pacific Islander (includes Hispanic)","All Ages","All Stages",58.6299,0.2308,58.1761,59.0807
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 50","All Stages",68.6194,0.5369,67.5538,69.6584
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64","All Stages",61.6980,0.3718,60.9647,62.4221
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65+","All Stages",54.0666,0.3394,53.3989,54.7291
Male,"Asian / Pacific Islander (includes Hispanic)","Ages <15","All Stages",81.8852,1.4641,78.8079,84.5601
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39","All Stages",74.6161,0.8053,72.9970,76.1545
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64","All Stages",61.7540,0.3356,61.0924,62.4080
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74","All Stages",63.0153,0.4223,62.1813,63.8367
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 75+","All Stages",43.0619,0.5397,42.0018,44.1171
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 20","All Stages",80.4932,1.2678,77.8668,82.8430
Male,"Black (includes Hispanic)","All Ages","All Stages",63.6402,0.1759,63.2944,63.9838
Male,"Black (includes Hispanic)","Ages < 50","All Stages",67.7604,0.4110,66.9474,68.5584
Male,"Black (includes Hispanic)","Ages 50-64","All Stages",65.1971,0.2405,64.7234,65.6661
Male,"Black (includes Hispanic)","Ages 65+","All Stages",60.4604,0.3131,59.8436,61.0710
Male,"Black (includes Hispanic)","Ages <15","All Stages",80.0093,1.2935,77.3309,82.4080
Male,"Black (includes Hispanic)","Ages 15-39","All Stages",67.6867,0.7601,66.1713,69.1508
Male,"Black (includes Hispanic)","Ages 40-64","All Stages",65.3842,0.2185,64.9540,65.8106
Male,"Black (includes Hispanic)","Ages 65-74","All Stages",66.2672,0.3564,65.5634,66.9606
Male,"Black (includes Hispanic)","Ages 75+","All Stages",47.8162,0.6146,46.6065,49.0152
Male,"Black (includes Hispanic)","Ages < 20","All Stages",78.9336,1.1345,76.6071,81.0580
Male,"Hispanic (any race)","All Ages","All Stages",62.7322,0.1770,62.3843,63.0779
Male,"Hispanic (any race)","Ages < 50","All Stages",71.4652,0.3272,70.8182,72.1008
Male,"Hispanic (any race)","Ages 50-64","All Stages",63.6397,0.2796,63.0888,64.1849
Male,"Hispanic (any race)","Ages 65+","All Stages",57.5126,0.2974,56.9273,58.0932
Male,"Hispanic (any race)","Ages <15","All Stages",81.6853,0.7870,80.0845,83.1713
Male,"Hispanic (any race)","Ages 15-39","All Stages",76.0285,0.4684,75.0957,76.9318
Male,"Hispanic (any race)","Ages 40-64","All Stages",63.7387,0.2469,63.2525,64.2204
Male,"Hispanic (any race)","Ages 65-74","All Stages",64.9786,0.3576,64.2727,65.6745
Male,"Hispanic (any race)","Ages 75+","All Stages",46.7237,0.5061,45.7285,47.7122
Male,"Hispanic (any race)","Ages < 20","All Stages",81.1136,0.6631,79.7741,82.3745
Male,"Non-Hispanic White","All Ages","All Stages",67.0830,0.0705,66.9446,67.2209
Male,"Non-Hispanic White","Ages < 50","All Stages",78.1126,0.1629,77.7913,78.4299
Male,"Non-Hispanic White","Ages 50-64","All Stages",70.0687,0.1017,69.8689,70.2675
Male,"Non-Hispanic White","Ages 65+","All Stages",62.8477,0.1098,62.6321,63.0624
Male,"Non-Hispanic White","Ages <15","All Stages",85.1366,0.5678,83.9852,86.2122
Male,"Non-Hispanic White","Ages 15-39","All Stages",84.4692,0.2393,83.9938,84.9318
Male,"Non-Hispanic White","Ages 40-64","All Stages",70.5649,0.0930,70.3823,70.7467
Male,"Non-Hispanic White","Ages 65-74","All Stages",69.4473,0.1267,69.1982,69.6949
Male,"Non-Hispanic White","Ages 75+","All Stages",53.7323,0.1967,53.3458,54.1170
Male,"Non-Hispanic White","Ages < 20","All Stages",85.3137,0.4606,84.3853,86.1915
Male,"White (includes Hispanic)","All Ages","All Stages",66.4535,0.0657,66.3245,66.5822
Male,"White (includes Hispanic)","Ages < 50","All Stages",76.5607,0.1471,76.2709,76.8475
Male,"White (includes Hispanic)","Ages 50-64","All Stages",69.2325,0.0959,69.0441,69.4201
Male,"White (includes Hispanic)","Ages 65+","All Stages",62.1799,0.1034,61.9769,62.3821
Male,"White (includes Hispanic)","Ages <15","All Stages",83.7247,0.4681,82.7836,84.6192
Male,"White (includes Hispanic)","Ages 15-39","All Stages",82.2070,0.2169,81.7773,82.6275
Male,"White (includes Hispanic)","Ages 40-64","All Stages",69.6230,0.0874,69.4513,69.7939
Male,"White (includes Hispanic)","Ages 65-74","All Stages",68.8860,0.1199,68.6504,69.1203
Male,"White (includes Hispanic)","Ages 75+","All Stages",52.8819,0.1843,52.5199,53.2424
Male,"White (includes Hispanic)","Ages < 20","All Stages",83.6246,0.3852,82.8539,84.3640

"Data Source:"
"SEER 18 areas [http://seer.cancer.gov/registries/terms.html] (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey, and Georgia excluding ATL/RG)."
Methodology:
"The five-year survival rates are calculated using monthly intervals."
"The Expected Survival Life Tables [https://seer.cancer.gov/expsurvival/] by Socio-Economic Standards were used."
"Race/Ethnicity Coding:"
"Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). See  SEER Race Recode Documentation for American Indian/Alaskan Native Statistics [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#ai-an]."
"Hispanics and Non-Hispanics are not mutually exclusive from whites, blacks, Asian/Pacific Islanders, and American Indians/Alaska Natives. Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA) and exclude cases from the Alaska Native Registry. See SEER Race Recode Documentation for Spanish-Hispanic-Latino Ethnicity [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#hispanic]."
"Cancer Site Coding:"
"See <a href=""https://seer.cancer.gov/explorer/cancer-sites.html"">SEER*Explorer Cancer Site Definitions</a> for details about the coding used for SEER Incidence data."
Timestamp:
"Created by seer.cancer.gov/explorer/application.php on 01/24/2020 1:09 pm."
