"Lung and Bronchus Cancer"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","Ages 75+",Unstaged,3.9685,0.3566,3.3114,4.7106
"Both Sexes","All Races (includes Hispanic)","Ages < 20","All Stages",81.2909,4.1635,71.4409,88.0223
"Both Sexes","All Races (includes Hispanic)","Ages < 20",Localized,100.0000,0.0000,-,-
"Both Sexes","All Races (includes Hispanic)","Ages < 20",Regional,89.6655,5.7018,71.0383,96.5800
"Both Sexes","All Races (includes Hispanic)","Ages < 20",Distant,-,-,-,-
"Both Sexes","All Races (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages","All Stages",18.2226,1.5216,15.3464,21.2999
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages",Localized,53.2263,5.5872,41.7326,63.4405
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages",Regional,31.1760,3.8172,23.8833,38.7268
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages",Distant,4.5244,1.1527,2.6316,7.1754
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages",Unstaged,10.6699,4.8496,3.5723,22.2492
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50","All Stages",30.2504,6.8788,17.6264,43.8843
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50",Localized,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50",Regional,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50",Distant,8.6598,4.7807,2.2208,20.7619
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64","All Stages",20.9029,2.4699,16.2858,25.9238
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Localized,63.0448,7.5921,46.3250,75.8378
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Regional,27.7037,5.3256,17.8797,38.4007
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Distant,4.6202,2.2090,1.5447,10.3625
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+","All Stages",15.2048,2.0091,11.5187,19.3672
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+",Localized,37.3189,8.4916,21.2324,53.4219
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+",Regional,31.2573,5.3751,21.1427,41.8817
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+",Distant,4.0981,1.3397,2.0157,7.3236
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+",Unstaged,10.7935,5.6602,2.9233,24.5855
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15","All Stages",-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15",Localized,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15",Regional,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15",Distant,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39","All Stages",-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Localized,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Regional,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Distant,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64","All Stages",21.9827,2.3583,17.5438,26.7513
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Localized,67.4094,6.9401,51.7963,78.9436
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Regional,30.7970,5.2669,20.8981,41.2286
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Distant,4.1009,1.9617,1.3793,9.2414
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74","All Stages",15.7525,2.5490,11.1453,21.0822
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Localized,41.2697,10.1273,21.7847,59.8105
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Regional,30.5072,6.7447,18.0834,43.8603
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Distant,5.7515,2.0250,2.6350,10.6171
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Unstaged,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+","All Stages",14.4923,3.2734,8.8117,21.5257
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+",Localized,28.5061,13.7512,6.9541,55.3846
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+",Regional,30.7638,7.9927,16.2718,46.5178
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+",Distant,1.3315,1.2816,0.1250,6.1396
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+",Unstaged,17.9993,8.2785,5.4978,36.2861
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20",Localized,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20",Regional,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20",Distant,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages","All Stages",21.1624,0.3999,20.3839,21.9512
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages",Localized,63.3359,1.3343,60.6571,65.8864
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages",Regional,35.1751,1.0851,33.0523,37.3034
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages",Distant,7.8832,0.3554,7.2052,8.5985
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages",Unstaged,12.8354,1.4154,10.2194,15.7580
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50","All Stages",27.0373,1.7033,23.7534,30.4182
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50",Localized,83.4120,4.6531,71.7904,90.5504
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50",Regional,51.4899,5.1467,40.9970,61.0097
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50",Distant,14.5699,1.6370,11.5382,17.9402
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50",Unstaged,32.6915,11.4629,12.6521,54.6259
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64","All Stages",24.7181,0.7705,23.2216,26.2409
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Localized,78.6185,2.1946,73.9340,82.5615
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Regional,42.0683,2.0442,38.0393,46.0387
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Distant,10.1379,0.7057,8.8083,11.5736
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Unstaged,25.1192,3.9497,17.7853,33.1109
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+","All Stages",19.1065,0.4862,18.1632,20.0687
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+",Localized,56.9895,1.6522,53.6819,60.1542
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+",Regional,31.2130,1.3154,28.6524,33.8037
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+",Distant,5.9869,0.4130,5.2126,6.8317
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+",Unstaged,9.1956,1.4388,6.6292,12.2620
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15","All Stages",-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15",Localized,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15",Regional,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15",Distant,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39","All Stages",31.0714,3.6448,24.0999,38.2828
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Localized,100.0000,0.0000,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Regional,69.4784,10.9342,42.7642,85.5468
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Distant,16.4094,3.4099,10.3919,23.6298
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Unstaged,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64","All Stages",24.8621,0.7154,23.4716,26.2749
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Localized,78.6755,2.0488,74.3256,82.3771
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Regional,42.6089,1.9284,38.8062,46.3542
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Distant,10.7709,0.6633,9.5146,12.1136
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Unstaged,24.9079,3.7633,17.9062,32.5213
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74","All Stages",23.9332,0.7567,22.4645,25.4296
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Localized,68.7334,2.1470,64.3109,72.7277
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Regional,35.7521,1.9095,32.0218,39.4937
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Distant,7.7002,0.6758,6.4451,9.0941
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Unstaged,18.0266,3.1980,12.2601,24.6936
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+","All Stages",15.0362,0.6273,13.8309,16.2891
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+",Localized,46.2546,2.4266,41.4366,50.9285
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+",Regional,26.8419,1.8068,23.3638,30.4320
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+",Distant,4.5413,0.5040,3.6250,5.6029
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+",Unstaged,5.5062,1.4201,3.1697,8.7560
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20",Localized,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20",Regional,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20",Distant,-,-,-,-
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
"Both Sexes","Black (includes Hispanic)","All Ages","All Stages",17.1103,0.2755,16.5740,17.6539
"Both Sexes","Black (includes Hispanic)","All Ages",Localized,53.7980,1.0789,51.6586,55.8865
"Both Sexes","Black (includes Hispanic)","All Ages",Regional,28.8670,0.7172,27.4684,30.2789
"Both Sexes","Black (includes Hispanic)","All Ages",Distant,5.1713,0.2155,4.7604,5.6050
"Both Sexes","Black (includes Hispanic)","All Ages",Unstaged,9.4761,1.1678,7.3480,11.9214
"Both Sexes","Black (includes Hispanic)","Ages < 50","All Stages",23.0803,1.1022,20.9539,25.2710
"Both Sexes","Black (includes Hispanic)","Ages < 50",Localized,80.1497,3.3537,72.5753,85.8348
"Both Sexes","Black (includes Hispanic)","Ages < 50",Regional,39.2172,2.7284,33.8632,44.5230
"Both Sexes","Black (includes Hispanic)","Ages < 50",Distant,8.7427,0.9661,6.9706,10.7560
"Both Sexes","Black (includes Hispanic)","Ages < 50",Unstaged,10.7596,6.3574,2.3569,26.5503
"Both Sexes","Black (includes Hispanic)","Ages 50-64","All Stages",18.3355,0.4187,17.5226,19.1635
"Both Sexes","Black (includes Hispanic)","Ages 50-64",Localized,60.6115,1.6173,57.3606,63.6974
"Both Sexes","Black (includes Hispanic)","Ages 50-64",Regional,31.3107,1.1117,29.1438,33.4986
"Both Sexes","Black (includes Hispanic)","Ages 50-64",Distant,6.0005,0.3321,5.3722,6.6743
"Both Sexes","Black (includes Hispanic)","Ages 50-64",Unstaged,17.2672,2.7059,12.3441,22.8876
"Both Sexes","Black (includes Hispanic)","Ages 65+","All Stages",15.3078,0.3907,14.5510,16.0824
"Both Sexes","Black (includes Hispanic)","Ages 65+",Localized,46.6395,1.5036,43.6659,49.5553
"Both Sexes","Black (includes Hispanic)","Ages 65+",Regional,25.5568,1.0092,23.6005,27.5539
"Both Sexes","Black (includes Hispanic)","Ages 65+",Distant,3.8572,0.2917,3.3143,4.4587
"Both Sexes","Black (includes Hispanic)","Ages 65+",Unstaged,6.1328,1.1898,4.0809,8.7507
"Both Sexes","Black (includes Hispanic)","Ages <15","All Stages",-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages <15",Localized,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages <15",Regional,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages <15",Distant,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages 15-39","All Stages",34.9226,3.2750,28.5683,41.3379
"Both Sexes","Black (includes Hispanic)","Ages 15-39",Localized,92.7179,4.4304,77.0337,97.8329
"Both Sexes","Black (includes Hispanic)","Ages 15-39",Regional,56.6007,7.0437,41.7420,69.0200
"Both Sexes","Black (includes Hispanic)","Ages 15-39",Distant,9.2745,2.9990,4.4862,16.1773
"Both Sexes","Black (includes Hispanic)","Ages 15-39",Unstaged,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages 40-64","All Stages",18.6422,0.3930,17.8786,19.4188
"Both Sexes","Black (includes Hispanic)","Ages 40-64",Localized,62.0571,1.5192,59.0023,64.9555
"Both Sexes","Black (includes Hispanic)","Ages 40-64",Regional,31.9443,1.0363,29.9224,33.9821
"Both Sexes","Black (includes Hispanic)","Ages 40-64",Distant,6.3222,0.3165,5.7212,6.9620
"Both Sexes","Black (includes Hispanic)","Ages 40-64",Unstaged,16.8709,2.5980,12.1419,22.2691
"Both Sexes","Black (includes Hispanic)","Ages 65-74","All Stages",17.4735,0.5216,16.4641,18.5083
"Both Sexes","Black (includes Hispanic)","Ages 65-74",Localized,49.4121,1.9062,45.6217,53.0849
"Both Sexes","Black (includes Hispanic)","Ages 65-74",Regional,30.6599,1.3436,28.0466,33.3082
"Both Sexes","Black (includes Hispanic)","Ages 65-74",Distant,4.5453,0.3972,3.8114,5.3694
"Both Sexes","Black (includes Hispanic)","Ages 65-74",Unstaged,10.7267,2.2882,6.7729,15.7057
"Both Sexes","Black (includes Hispanic)","Ages 75+","All Stages",12.2537,0.5890,11.1282,13.4362
"Both Sexes","Black (includes Hispanic)","Ages 75+",Localized,42.8610,2.4515,38.0197,47.6062
"Both Sexes","Black (includes Hispanic)","Ages 75+",Regional,17.6468,1.4906,14.8328,20.6653
"Both Sexes","Black (includes Hispanic)","Ages 75+",Distant,2.8345,0.4219,2.0914,3.7509
"Both Sexes","Black (includes Hispanic)","Ages 75+",Unstaged,2.9871,1.1431,1.2945,5.8687
"Both Sexes","Black (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages < 20",Localized,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages < 20",Regional,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages < 20",Distant,-,-,-,-
"Both Sexes","Black (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
"Both Sexes","Hispanic (any race)","All Ages","All Stages",18.1191,0.3911,17.3594,18.8923
"Both Sexes","Hispanic (any race)","All Ages",Localized,56.2654,1.3886,53.4965,58.9371
"Both Sexes","Hispanic (any race)","All Ages",Regional,31.2050,1.0885,29.0833,33.3474
"Both Sexes","Hispanic (any race)","All Ages",Distant,5.4901,0.3164,4.8928,6.1333
"Both Sexes","Hispanic (any race)","All Ages",Unstaged,6.8655,1.1621,4.8227,9.3796
"Both Sexes","Hispanic (any race)","Ages < 50","All Stages",30.3231,1.5559,27.3026,33.3933
"Both Sexes","Hispanic (any race)","Ages < 50",Localized,83.8715,3.3046,76.1216,89.2809
"Both Sexes","Hispanic (any race)","Ages < 50",Regional,59.1615,4.1263,50.6084,66.7277
"Both Sexes","Hispanic (any race)","Ages < 50",Distant,9.1973,1.3537,6.7684,12.0690
"Both Sexes","Hispanic (any race)","Ages < 50",Unstaged,45.0365,7.5581,29.9752,58.9692
"Both Sexes","Hispanic (any race)","Ages 50-64","All Stages",20.8183,0.7366,19.3932,22.2796
"Both Sexes","Hispanic (any race)","Ages 50-64",Localized,71.2176,2.4517,66.0950,75.7115
"Both Sexes","Hispanic (any race)","Ages 50-64",Regional,36.0251,1.9818,32.1527,39.9065
"Both Sexes","Hispanic (any race)","Ages 50-64",Distant,7.0230,0.6201,5.8730,8.3040
"Both Sexes","Hispanic (any race)","Ages 50-64",Unstaged,8.3460,2.7379,4.0065,14.7059
"Both Sexes","Hispanic (any race)","Ages 65+","All Stages",15.4148,0.4817,14.4843,16.3723
"Both Sexes","Hispanic (any race)","Ages 65+",Localized,47.7245,1.7621,44.2308,51.1306
"Both Sexes","Hispanic (any race)","Ages 65+",Regional,26.0214,1.3557,23.4024,28.7103
"Both Sexes","Hispanic (any race)","Ages 65+",Distant,4.2411,0.3733,3.5519,5.0164
"Both Sexes","Hispanic (any race)","Ages 65+",Unstaged,3.9804,1.0921,2.2171,6.5318
"Both Sexes","Hispanic (any race)","Ages <15","All Stages",-,-,-,-
"Both Sexes","Hispanic (any race)","Ages <15",Localized,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages <15",Regional,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages <15",Distant,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages <15",Unstaged,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages 15-39","All Stages",45.4035,3.0756,39.2916,51.3052
"Both Sexes","Hispanic (any race)","Ages 15-39",Localized,88.8976,4.5257,75.9762,95.0841
"Both Sexes","Hispanic (any race)","Ages 15-39",Regional,78.4187,6.2850,62.8828,88.0379
"Both Sexes","Hispanic (any race)","Ages 15-39",Distant,16.0660,3.3799,10.1166,23.2395
"Both Sexes","Hispanic (any race)","Ages 15-39",Unstaged,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages 40-64","All Stages",21.1958,0.6772,19.8838,22.5374
"Both Sexes","Hispanic (any race)","Ages 40-64",Localized,72.4873,2.1980,67.9068,76.5296
"Both Sexes","Hispanic (any race)","Ages 40-64",Regional,37.7439,1.8538,34.1117,41.3671
"Both Sexes","Hispanic (any race)","Ages 40-64",Distant,6.9440,0.5629,5.8953,8.1020
"Both Sexes","Hispanic (any race)","Ages 40-64",Unstaged,13.8901,3.0342,8.6112,20.4110
"Both Sexes","Hispanic (any race)","Ages 65-74","All Stages",18.2218,0.7182,16.8372,19.6514
"Both Sexes","Hispanic (any race)","Ages 65-74",Localized,56.6579,2.4368,51.7364,61.2750
"Both Sexes","Hispanic (any race)","Ages 65-74",Regional,28.7563,1.9449,25.0028,32.6098
"Both Sexes","Hispanic (any race)","Ages 65-74",Distant,5.0615,0.5559,4.0490,6.2297
"Both Sexes","Hispanic (any race)","Ages 65-74",Unstaged,4.9297,2.3272,1.6687,10.9336
"Both Sexes","Hispanic (any race)","Ages 75+","All Stages",12.7916,0.6461,11.5579,14.0896
"Both Sexes","Hispanic (any race)","Ages 75+",Localized,39.3821,2.5117,34.4510,44.2694
"Both Sexes","Hispanic (any race)","Ages 75+",Regional,23.1099,1.8774,19.5321,26.8734
"Both Sexes","Hispanic (any race)","Ages 75+",Distant,3.3807,0.5001,2.4978,4.4636
"Both Sexes","Hispanic (any race)","Ages 75+",Unstaged,3.5097,1.1960,1.6760,6.4305
"Both Sexes","Hispanic (any race)","Ages < 20","All Stages",-,-,-,-
"Both Sexes","Hispanic (any race)","Ages < 20",Localized,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages < 20",Regional,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages < 20",Distant,-,-,-,-
"Both Sexes","Hispanic (any race)","Ages < 20",Unstaged,-,-,-,-
"Both Sexes","Non-Hispanic White","All Ages","All Stages",19.6473,0.1150,19.4225,19.8731
"Both Sexes","Non-Hispanic White","All Ages",Localized,57.4394,0.3878,56.6753,58.1954
"Both Sexes","Non-Hispanic White","All Ages",Regional,30.6147,0.2867,30.0536,31.1775
"Both Sexes","Non-Hispanic White","All Ages",Distant,4.9029,0.0853,4.7376,5.0720
"Both Sexes","Non-Hispanic White","All Ages",Unstaged,7.4420,0.3666,6.7449,8.1818
"Both Sexes","Non-Hispanic White","Ages < 50","All Stages",27.5323,0.5840,26.3932,28.6820
"Both Sexes","Non-Hispanic White","Ages < 50",Localized,82.5703,1.3666,79.7027,85.0713
"Both Sexes","Non-Hispanic White","Ages < 50",Regional,43.9225,1.4120,41.1384,46.6691
"Both Sexes","Non-Hispanic White","Ages < 50",Distant,8.4610,0.4922,7.5291,9.4583
"Both Sexes","Non-Hispanic White","Ages < 50",Unstaged,31.7847,4.2758,23.6304,40.2262
"Both Sexes","Non-Hispanic White","Ages 50-64","All Stages",21.2101,0.2032,20.8131,21.6097
"Both Sexes","Non-Hispanic White","Ages 50-64",Localized,65.4736,0.6722,64.1380,66.7730
"Both Sexes","Non-Hispanic White","Ages 50-64",Regional,35.4678,0.5110,34.4669,36.4697
