"Breast Cancer"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Localized,99.6832,0.4984,93.2735,99.9855
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Regional,86.8648,1.3973,83.8489,89.3535
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Distant,30.6706,4.1588,22.7664,38.9121
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74",Unstaged,59.3908,7.9296,42.2753,72.9561
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+","All Stages",85.1125,1.2344,82.5075,87.3597
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Localized,97.9347,1.3212,92.8588,99.4139
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Regional,71.8022,2.7696,65.9562,76.8234
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Distant,16.8197,4.5303,9.0990,26.5615
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Unstaged,28.9642,7.3185,15.7565,43.5667
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Localized,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Regional,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Distant,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
Female,"Black (includes Hispanic)","All Ages","All Stages",81.4602,0.2866,80.8910,82.0145
Female,"Black (includes Hispanic)","All Ages",Localized,95.5044,0.3115,94.8517,96.0760
Female,"Black (includes Hispanic)","All Ages",Regional,77.0886,0.5012,76.0884,78.0531
Female,"Black (includes Hispanic)","All Ages",Distant,19.7175,0.8987,17.9873,21.5081
Female,"Black (includes Hispanic)","All Ages",Unstaged,49.2824,2.6210,44.0472,54.2981
Female,"Black (includes Hispanic)","Ages < 50","All Stages",80.8339,0.4745,79.8840,81.7443
Female,"Black (includes Hispanic)","Ages < 50",Localized,93.9736,0.4691,92.9831,94.8282
Female,"Black (includes Hispanic)","Ages < 50",Regional,77.9184,0.7682,76.3686,79.3807
Female,"Black (includes Hispanic)","Ages < 50",Distant,25.9379,1.8514,22.3830,29.6243
Female,"Black (includes Hispanic)","Ages < 50",Unstaged,65.4855,4.4836,55.9203,73.4668
Female,"Black (includes Hispanic)","Ages 50-64","All Stages",82.3681,0.4081,81.5519,83.1521
Female,"Black (includes Hispanic)","Ages 50-64",Localized,95.8842,0.3940,95.0367,96.5895
Female,"Black (includes Hispanic)","Ages 50-64",Regional,78.7563,0.7403,77.2622,80.1652
Female,"Black (includes Hispanic)","Ages 50-64",Distant,18.7376,1.3390,16.1910,21.4322
Female,"Black (includes Hispanic)","Ages 50-64",Unstaged,61.8498,4.6250,52.1090,70.1774
Female,"Black (includes Hispanic)","Ages 65+","All Stages",80.9350,0.6314,79.6617,82.1378
Female,"Black (includes Hispanic)","Ages 65+",Localized,96.1697,0.7253,94.4572,97.3604
Female,"Black (includes Hispanic)","Ages 65+",Regional,73.2665,1.2154,70.7980,75.5636
Female,"Black (includes Hispanic)","Ages 65+",Distant,15.5541,1.5702,12.6236,18.7655
Female,"Black (includes Hispanic)","Ages 65+",Unstaged,31.5042,3.8839,24.0796,39.1793
Female,"Black (includes Hispanic)","Ages <15","All Stages",-,-,-,-
Female,"Black (includes Hispanic)","Ages <15",Localized,-,-,-,-
Female,"Black (includes Hispanic)","Ages <15",Regional,-,-,-,-
Female,"Black (includes Hispanic)","Ages <15",Distant,-,-,-,-
Female,"Black (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
Female,"Black (includes Hispanic)","Ages 15-39","All Stages",76.5325,0.9453,74.6177,78.3246
Female,"Black (includes Hispanic)","Ages 15-39",Localized,91.6667,1.0404,89.3724,93.4838
Female,"Black (includes Hispanic)","Ages 15-39",Regional,75.0940,1.4375,72.1432,77.7817
Female,"Black (includes Hispanic)","Ages 15-39",Distant,31.1113,3.1534,25.0534,37.3468
Female,"Black (includes Hispanic)","Ages 15-39",Unstaged,64.5738,7.4349,48.0611,77.0228
Female,"Black (includes Hispanic)","Ages 40-64","All Stages",82.3952,0.3274,81.7430,83.0265
Female,"Black (includes Hispanic)","Ages 40-64",Localized,95.5173,0.3161,94.8541,96.0969
Female,"Black (includes Hispanic)","Ages 40-64",Regional,78.8924,0.5744,77.7405,79.9925
Female,"Black (includes Hispanic)","Ages 40-64",Distant,19.8709,1.1526,17.6631,22.1765
Female,"Black (includes Hispanic)","Ages 40-64",Unstaged,63.4414,3.5823,55.9706,69.9905
Female,"Black (includes Hispanic)","Ages 65-74","All Stages",84.8244,0.6886,83.4191,86.1207
Female,"Black (includes Hispanic)","Ages 65-74",Localized,97.8930,0.7065,95.9468,98.9100
Female,"Black (includes Hispanic)","Ages 65-74",Regional,77.3130,1.3735,74.4834,79.8723
Female,"Black (includes Hispanic)","Ages 65-74",Distant,17.8800,2.2413,13.7301,22.4804
Female,"Black (includes Hispanic)","Ages 65-74",Unstaged,46.7784,6.6197,33.4706,59.0149
Female,"Black (includes Hispanic)","Ages 75+","All Stages",74.7578,1.2112,72.2910,77.0410
Female,"Black (includes Hispanic)","Ages 75+",Localized,93.1055,1.5467,89.3431,95.5723
Female,"Black (includes Hispanic)","Ages 75+",Regional,66.4687,2.2861,61.7713,70.7301
Female,"Black (includes Hispanic)","Ages 75+",Distant,12.6876,2.1598,8.8331,17.2654
Female,"Black (includes Hispanic)","Ages 75+",Unstaged,22.7803,4.5464,14.5580,32.1243
Female,"Black (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
Female,"Black (includes Hispanic)","Ages < 20",Localized,-,-,-,-
Female,"Black (includes Hispanic)","Ages < 20",Regional,-,-,-,-
Female,"Black (includes Hispanic)","Ages < 20",Distant,-,-,-,-
Female,"Black (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
Female,"Hispanic (any race)","All Ages","All Stages",87.4023,0.2473,86.9090,87.8784
Female,"Hispanic (any race)","All Ages",Localized,96.5350,0.2514,96.0062,96.9948
Female,"Hispanic (any race)","All Ages",Regional,83.6941,0.4429,82.8050,84.5415
Female,"Hispanic (any race)","All Ages",Distant,31.1646,1.2638,28.7038,33.6533
Female,"Hispanic (any race)","All Ages",Unstaged,58.3347,2.6441,52.9643,63.3136
Female,"Hispanic (any race)","Ages < 50","All Stages",87.7838,0.3659,87.0468,88.4817
Female,"Hispanic (any race)","Ages < 50",Localized,96.7600,0.3059,96.1025,97.3081
Female,"Hispanic (any race)","Ages < 50",Regional,85.2627,0.6132,84.0152,86.4208
Female,"Hispanic (any race)","Ages < 50",Distant,36.7867,2.1857,32.5126,41.0613
Female,"Hispanic (any race)","Ages < 50",Unstaged,69.8904,4.0894,61.0545,77.0970
Female,"Hispanic (any race)","Ages 50-64","All Stages",88.2575,0.3620,87.5277,88.9473
Female,"Hispanic (any race)","Ages 50-64",Localized,96.9051,0.3184,96.2150,97.4710
Female,"Hispanic (any race)","Ages 50-64",Regional,84.7828,0.6822,83.3914,86.0675
Female,"Hispanic (any race)","Ages 50-64",Distant,31.4784,2.0315,27.5397,35.4852
Female,"Hispanic (any race)","Ages 50-64",Unstaged,62.0708,4.5777,52.4275,70.3140
Female,"Hispanic (any race)","Ages 65+","All Stages",85.6460,0.5992,84.4269,86.7772
Female,"Hispanic (any race)","Ages 65+",Localized,95.7537,0.6571,94.2559,96.8675
Female,"Hispanic (any race)","Ages 65+",Regional,78.6613,1.2048,76.1857,80.9126
Female,"Hispanic (any race)","Ages 65+",Distant,23.4431,2.3694,18.9597,28.2119
Female,"Hispanic (any race)","Ages 65+",Unstaged,43.4102,4.8038,33.8861,52.5461
Female,"Hispanic (any race)","Ages <15","All Stages",-,-,-,-
Female,"Hispanic (any race)","Ages <15",Localized,-,-,-,-
Female,"Hispanic (any race)","Ages <15",Regional,-,-,-,-
Female,"Hispanic (any race)","Ages <15",Distant,-,-,-,-
Female,"Hispanic (any race)","Ages <15",Unstaged,-,-,-,-
Female,"Hispanic (any race)","Ages 15-39","All Stages",84.2505,0.7646,82.6861,85.6860
Female,"Hispanic (any race)","Ages 15-39",Localized,95.4507,0.7286,93.7814,96.6798
Female,"Hispanic (any race)","Ages 15-39",Regional,82.0524,1.1708,79.6241,84.2204
Female,"Hispanic (any race)","Ages 15-39",Distant,36.0477,3.7603,28.7450,43.3851
Female,"Hispanic (any race)","Ages 15-39",Unstaged,83.6495,5.2015,70.2340,91.3740
Female,"Hispanic (any race)","Ages 40-64","All Stages",88.6007,0.2733,88.0532,89.1247
Female,"Hispanic (any race)","Ages 40-64",Localized,96.9981,0.2357,96.4994,97.4267
Female,"Hispanic (any race)","Ages 40-64",Regional,85.6059,0.4967,84.6017,86.5499
Female,"Hispanic (any race)","Ages 40-64",Distant,33.5713,1.6246,30.4041,36.7639
Female,"Hispanic (any race)","Ages 40-64",Unstaged,62.6412,3.4771,55.4198,69.0265
Female,"Hispanic (any race)","Ages 65-74","All Stages",89.7437,0.6069,88.4872,90.8702
Female,"Hispanic (any race)","Ages 65-74",Localized,97.4598,0.6151,95.9239,98.4217
Female,"Hispanic (any race)","Ages 65-74",Regional,85.8521,1.2190,83.2708,88.0640
Female,"Hispanic (any race)","Ages 65-74",Distant,24.3789,3.0720,18.6122,30.5784
Female,"Hispanic (any race)","Ages 65-74",Unstaged,63.6615,6.4873,49.5205,74.8129
Female,"Hispanic (any race)","Ages 75+","All Stages",78.4465,1.2388,75.8993,80.7595
Female,"Hispanic (any race)","Ages 75+",Localized,92.6346,1.4606,89.1735,95.0200
Female,"Hispanic (any race)","Ages 75+",Regional,65.5959,2.4377,60.5825,70.1339
Female,"Hispanic (any race)","Ages 75+",Distant,22.8656,3.8130,15.8594,30.6553
Female,"Hispanic (any race)","Ages 75+",Unstaged,23.8139,6.2115,12.8857,36.6107
Female,"Hispanic (any race)","Ages < 20","All Stages",-,-,-,-
Female,"Hispanic (any race)","Ages < 20",Localized,-,-,-,-
Female,"Hispanic (any race)","Ages < 20",Regional,-,-,-,-
Female,"Hispanic (any race)","Ages < 20",Distant,-,-,-,-
Female,"Hispanic (any race)","Ages < 20",Unstaged,-,-,-,-
Female,"Non-Hispanic White","All Ages","All Stages",91.3677,0.1030,91.1636,91.5674
Female,"Non-Hispanic White","All Ages",Localized,99.5966,0.1067,99.3229,99.7598
Female,"Non-Hispanic White","All Ages",Regional,87.1894,0.2016,86.7886,87.5790
Female,"Non-Hispanic White","All Ages",Distant,28.2065,0.5176,27.1961,29.2246
Female,"Non-Hispanic White","All Ages",Unstaged,51.3133,1.2002,48.9351,53.6378
Female,"Non-Hispanic White","Ages < 50","All Stages",91.6355,0.1667,91.3026,91.9562
Female,"Non-Hispanic White","Ages < 50",Localized,97.5110,0.1418,97.2171,97.7743
Female,"Non-Hispanic White","Ages < 50",Regional,89.1642,0.3049,88.5510,89.7466
Female,"Non-Hispanic White","Ages < 50",Distant,41.8284,1.3478,39.1766,44.4558
Female,"Non-Hispanic White","Ages < 50",Unstaged,80.1753,2.5272,74.6591,84.6149
Female,"Non-Hispanic White","Ages 50-64","All Stages",91.9106,0.1300,91.6520,92.1616
Female,"Non-Hispanic White","Ages 50-64",Localized,98.7489,0.1111,98.5112,98.9488
Female,"Non-Hispanic White","Ages 50-64",Regional,89.3939,0.2646,88.8633,89.9007
Female,"Non-Hispanic White","Ages 50-64",Distant,29.8264,0.8278,28.2122,31.4558
Female,"Non-Hispanic White","Ages 50-64",Unstaged,67.8917,1.9710,63.8555,71.5811
Female,"Non-Hispanic White","Ages 65+","All Stages",90.8045,0.2050,90.3942,91.1981
Female,"Non-Hispanic White","Ages 65+",Localized,100.0000,0.0157,-,-
Female,"Non-Hispanic White","Ages 65+",Regional,83.1456,0.4480,82.2468,84.0035
Female,"Non-Hispanic White","Ages 65+",Distant,22.0575,0.7568,20.5916,23.5571
Female,"Non-Hispanic White","Ages 65+",Unstaged,38.2763,1.6012,35.1365,41.4056
Female,"Non-Hispanic White","Ages <15","All Stages",-,-,-,-
Female,"Non-Hispanic White","Ages <15",Localized,-,-,-,-
Female,"Non-Hispanic White","Ages <15",Regional,-,-,-,-
Female,"Non-Hispanic White","Ages <15",Distant,-,-,-,-
Female,"Non-Hispanic White","Ages <15",Unstaged,-,-,-,-
Female,"Non-Hispanic White","Ages 15-39","All Stages",87.8424,0.4159,87.0015,88.6325
Female,"Non-Hispanic White","Ages 15-39",Localized,95.4961,0.3971,94.6485,96.2121
Female,"Non-Hispanic White","Ages 15-39",Regional,86.0578,0.6717,84.6829,87.3186
Female,"Non-Hispanic White","Ages 15-39",Distant,45.3986,2.4899,40.4606,50.1982
Female,"Non-Hispanic White","Ages 15-39",Unstaged,75.8124,5.2889,63.5263,84.4508
Female,"Non-Hispanic White","Ages 40-64","All Stages",92.1190,0.1060,91.9087,92.3242
Female,"Non-Hispanic White","Ages 40-64",Localized,98.5311,0.0904,98.3429,98.6981
Female,"Non-Hispanic White","Ages 40-64",Regional,89.6558,0.2098,89.2367,90.0594
Female,"Non-Hispanic White","Ages 40-64",Distant,32.2606,0.7381,30.8180,33.7107
Female,"Non-Hispanic White","Ages 40-64",Unstaged,71.5116,1.6467,68.1388,74.5960
Female,"Non-Hispanic White","Ages 65-74","All Stages",92.8338,0.2040,92.4231,93.2231
Female,"Non-Hispanic White","Ages 65-74",Localized,100.0000,0.0128,-,-
Female,"Non-Hispanic White","Ages 65-74",Regional,88.3633,0.4650,87.4180,89.2421
