"Prostate Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Male,"Black (includes Hispanic)","Delay-adjusted Rates",45-49,86.4221,1.9279,82.6843,90.2835
Male,"Black (includes Hispanic)","Delay-adjusted Rates",50-54,239.1510,3.2029,232.9143,245.5106
Male,"Black (includes Hispanic)","Delay-adjusted Rates",55-59,479.6354,4.8258,470.2232,489.1865
Male,"Black (includes Hispanic)","Delay-adjusted Rates",60-64,752.6285,6.9043,739.1565,766.2816
Male,"Black (includes Hispanic)","Delay-adjusted Rates",65-69,1072.1783,9.7911,1053.0729,1091.5385
Male,"Black (includes Hispanic)","Delay-adjusted Rates",70-74,1012.2113,11.7442,989.3224,1035.4890
Male,"Black (includes Hispanic)","Delay-adjusted Rates",75-79,842.0691,13.1881,816.4171,868.3107
Male,"Black (includes Hispanic)","Delay-adjusted Rates",80-84,576.8741,14.1081,549.5510,605.1851
Male,"Black (includes Hispanic)","Delay-adjusted Rates",85+,521.0989,14.8849,492.3299,551.0870
Male,"Hispanic (any race)","Observed Rates",<1,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",1-4,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",5-9,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",10-14,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",15-19,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",20-24,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",25-29,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",30-34,-,-,-,-
Male,"Hispanic (any race)","Observed Rates",35-39,0.3320,0.0830,0.1898,0.5391
Male,"Hispanic (any race)","Observed Rates",40-44,4.7725,0.3278,4.1517,5.4600
Male,"Hispanic (any race)","Observed Rates",45-49,20.7858,0.7193,19.3997,22.2448
Male,"Hispanic (any race)","Observed Rates",50-54,76.5044,1.4986,73.5950,79.4993
Male,"Hispanic (any race)","Observed Rates",55-59,182.5855,2.6172,177.4916,187.7886
Male,"Hispanic (any race)","Observed Rates",60-64,331.2533,4.1478,323.1730,339.4845
Male,"Hispanic (any race)","Observed Rates",65-69,548.1219,6.3882,535.6719,560.7882
Male,"Hispanic (any race)","Observed Rates",70-74,578.2307,8.1522,562.3618,594.4338
Male,"Hispanic (any race)","Observed Rates",75-79,554.2986,9.6741,535.4983,573.5906
Male,"Hispanic (any race)","Observed Rates",80-84,424.8272,10.5096,404.4761,445.9370
Male,"Hispanic (any race)","Observed Rates",85+,338.4063,10.2126,318.6835,359.0303
Male,"Hispanic (any race)","Delay-adjusted Rates",<1,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",30-34,-,-,-,-
Male,"Hispanic (any race)","Delay-adjusted Rates",35-39,0.3386,0.0847,0.1935,0.5493
Male,"Hispanic (any race)","Delay-adjusted Rates",40-44,4.8972,0.3364,4.2599,5.6022
Male,"Hispanic (any race)","Delay-adjusted Rates",45-49,21.2763,0.7365,19.8571,22.7695
Male,"Hispanic (any race)","Delay-adjusted Rates",50-54,78.6350,1.5409,75.6437,81.7135
Male,"Hispanic (any race)","Delay-adjusted Rates",55-59,187.9480,2.6949,182.7027,193.3045
Male,"Hispanic (any race)","Delay-adjusted Rates",60-64,340.8928,4.2699,332.5747,349.3648
Male,"Hispanic (any race)","Delay-adjusted Rates",65-69,565.8947,6.5977,553.0365,578.9739
Male,"Hispanic (any race)","Delay-adjusted Rates",70-74,597.0374,8.4205,580.6463,613.7699
Male,"Hispanic (any race)","Delay-adjusted Rates",75-79,572.1131,9.9884,552.7020,592.0263
Male,"Hispanic (any race)","Delay-adjusted Rates",80-84,437.8604,10.8353,416.8786,459.6162
Male,"Hispanic (any race)","Delay-adjusted Rates",85+,349.0368,10.5369,328.6877,370.3055
Male,"Non-Hispanic White","Observed Rates",<1,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",1-4,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",5-9,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",10-14,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",15-19,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",20-24,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",25-29,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",30-34,-,-,-,-
Male,"Non-Hispanic White","Observed Rates",35-39,0.5867,0.0784,0.4432,0.7619
Male,"Non-Hispanic White","Observed Rates",40-44,7.3421,0.2694,6.8236,7.8896
Male,"Non-Hispanic White","Observed Rates",45-49,30.8392,0.5241,29.8205,31.8838
Male,"Non-Hispanic White","Observed Rates",50-54,110.0140,0.9367,108.1857,111.8654
Male,"Non-Hispanic White","Observed Rates",55-59,234.2699,1.3746,231.5833,236.9798
Male,"Non-Hispanic White","Observed Rates",60-64,396.4429,1.9096,392.7089,400.2035
Male,"Non-Hispanic White","Observed Rates",65-69,594.4270,2.5658,589.4086,599.4774
Male,"Non-Hispanic White","Observed Rates",70-74,628.6623,3.1701,622.4641,634.9068
Male,"Non-Hispanic White","Observed Rates",75-79,541.8941,3.5358,534.9860,548.8691
Male,"Non-Hispanic White","Observed Rates",80-84,410.0091,3.6278,402.9291,417.1822
Male,"Non-Hispanic White","Observed Rates",85+,364.1151,3.5258,357.2370,371.0923
Male,"Non-Hispanic White","Delay-adjusted Rates",<1,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",1-4,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",5-9,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",10-14,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",15-19,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",20-24,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",25-29,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",30-34,-,-,-,-
Male,"Non-Hispanic White","Delay-adjusted Rates",35-39,0.6012,0.0804,0.4541,0.7804
Male,"Non-Hispanic White","Delay-adjusted Rates",40-44,7.5299,0.2763,6.9980,8.0911
Male,"Non-Hispanic White","Delay-adjusted Rates",45-49,31.6637,0.5382,30.6175,32.7362
Male,"Non-Hispanic White","Delay-adjusted Rates",50-54,113.0657,0.9629,111.1862,114.9687
Male,"Non-Hispanic White","Delay-adjusted Rates",55-59,240.9786,1.4143,238.2144,243.7666
Male,"Non-Hispanic White","Delay-adjusted Rates",60-64,407.8055,1.9648,403.9635,411.6747
Male,"Non-Hispanic White","Delay-adjusted Rates",65-69,617.2714,2.6654,612.0583,622.5175
Male,"Non-Hispanic White","Delay-adjusted Rates",70-74,652.8054,3.2931,646.3668,659.2916
Male,"Non-Hispanic White","Delay-adjusted Rates",75-79,562.8590,3.6739,555.6810,570.1057
Male,"Non-Hispanic White","Delay-adjusted Rates",80-84,425.8901,3.7698,418.5331,433.3426
Male,"Non-Hispanic White","Delay-adjusted Rates",85+,378.2472,3.6640,371.0996,385.4964
Male,"White (includes Hispanic)","Observed Rates",<1,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",30-34,-,-,-,-
Male,"White (includes Hispanic)","Observed Rates",35-39,0.5073,0.0606,0.3955,0.6410
Male,"White (includes Hispanic)","Observed Rates",40-44,6.5303,0.2154,6.1149,6.9666
Male,"White (includes Hispanic)","Observed Rates",45-49,28.0468,0.4352,27.2002,28.9130
Male,"White (includes Hispanic)","Observed Rates",50-54,102.5358,0.8116,100.9512,104.1390
Male,"White (includes Hispanic)","Observed Rates",55-59,224.0447,1.2319,221.6367,226.4723
Male,"White (includes Hispanic)","Observed Rates",60-64,384.7370,1.7485,381.3176,388.1794
Male,"White (includes Hispanic)","Observed Rates",65-69,584.6178,2.3907,579.9414,589.3224
Male,"White (includes Hispanic)","Observed Rates",70-74,618.4715,2.9645,612.6746,624.3096
Male,"White (includes Hispanic)","Observed Rates",75-79,537.3989,3.3222,530.9071,543.9503
Male,"White (includes Hispanic)","Observed Rates",80-84,408.5136,3.4331,401.8122,415.2988
Male,"White (includes Hispanic)","Observed Rates",85+,360.5317,3.3430,354.0089,367.1444
Male,"White (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",30-34,-,-,-,-
Male,"White (includes Hispanic)","Delay-adjusted Rates",35-39,0.5189,0.0620,0.4045,0.6554
Male,"White (includes Hispanic)","Delay-adjusted Rates",40-44,6.6946,0.2209,6.2687,7.1417
Male,"White (includes Hispanic)","Delay-adjusted Rates",45-49,28.7829,0.4467,27.9139,29.6719
Male,"White (includes Hispanic)","Delay-adjusted Rates",50-54,105.3501,0.8340,103.7216,106.9975
Male,"White (includes Hispanic)","Delay-adjusted Rates",55-59,230.4066,1.2671,227.9296,232.9035
Male,"White (includes Hispanic)","Delay-adjusted Rates",60-64,395.6454,1.7985,392.1282,399.1860
Male,"White (includes Hispanic)","Delay-adjusted Rates",65-69,607.5694,2.4854,602.7078,612.4601
Male,"White (includes Hispanic)","Delay-adjusted Rates",70-74,642.6598,3.0815,636.6342,648.7277
Male,"White (includes Hispanic)","Delay-adjusted Rates",75-79,558.5774,3.4542,551.8274,565.3884
Male,"White (includes Hispanic)","Delay-adjusted Rates",80-84,424.5615,3.5692,417.5944,431.6145
Male,"White (includes Hispanic)","Delay-adjusted Rates",85+,374.6686,3.4752,367.8879,381.5416

"Data Source:"
"SEER 21 areas [http://seer.cancer.gov/registries/terms.html] (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey, Georgia excluding ATL/RG, Idaho, New York and Massachusetts)."
Methodology:
"Rates are per 100,000."
"Race/Ethnicity Coding:"
"Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). See  SEER Race Recode Documentation for American Indian/Alaskan Native Statistics [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#ai-an]."
"Hispanics and Non-Hispanics are not mutually exclusive from whites, blacks, Asian/Pacific Islanders, and American Indians/Alaska Natives. Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA) and exclude cases from the Alaska Native Registry. See SEER Race Recode Documentation for Spanish-Hispanic-Latino Ethnicity [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#hispanic]."
"Cancer Site Coding:"
"See <a href=""https://seer.cancer.gov/explorer/cancer-sites.html"">SEER*Explorer Cancer Site Definitions</a> for details about the coding used for SEER Incidence data."
Timestamp:
"Created by seer.cancer.gov/explorer/application.php on 09/27/2019 6:34 pm."
