"All Cancer Sites Combined"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",25-29,61.7273,0.3859,60.9733,62.4883
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",30-34,97.6911,0.4947,96.7238,98.6657
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",35-39,144.8244,0.6249,143.6021,146.0544
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",40-44,228.5701,0.7785,227.0468,230.1011
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",45-49,358.0786,0.9585,356.2024,359.9622
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",50-54,572.1931,1.1883,569.8665,574.5268
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",55-59,833.8517,1.4759,830.9614,836.7496
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",60-64,1176.0758,1.8975,1172.3597,1179.8009
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",65-69,1621.6696,2.4745,1616.8233,1626.5268
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",70-74,1956.4813,3.2371,1950.1417,1962.8363
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",75-79,2202.5073,4.0481,2194.5801,2210.4559
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",80-84,2298.3899,4.7941,2289.0030,2307.8056
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",85+,2112.1327,4.3795,2103.5575,2120.7340
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",<1,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",1-4,14.9300,2.0906,11.1164,19.6302
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",5-9,7.9476,1.3835,5.4708,11.1614
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",10-14,9.0303,1.5051,6.3247,12.5018
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",15-19,12.9940,1.8019,9.7045,17.0398
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",20-24,24.2364,2.3998,19.7619,29.4214
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",25-29,38.0185,3.1464,32.1018,44.7097
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",30-34,69.5838,4.4638,61.1092,78.9051
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",35-39,97.4390,5.6256,86.7237,109.1125
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",40-44,135.4724,6.8865,122.3098,149.6655
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",45-49,225.0144,8.9154,207.8775,243.1873
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",50-54,410.8256,12.0157,387.6098,435.0685
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",55-59,571.4447,15.1592,542.1158,601.9478
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",60-64,808.1417,20.5004,768.4565,849.3450
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",65-69,1081.5278,27.9997,1027.3391,1137.8327
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",70-74,1378.4682,38.9423,1303.1900,1456.9608
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",75-79,1463.6818,49.2847,1368.6668,1563.5544
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",80-84,1766.4351,68.7064,1634.3218,1906.3843
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Observed Rates",85+,1520.3956,68.5447,1389.0008,1660.8700
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",1-4,15.8431,2.2205,11.7928,20.8123
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",5-9,8.4242,1.4677,5.7968,11.8140
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",10-14,9.6908,1.6168,6.7847,13.3953
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",15-19,13.9215,1.9319,10.3950,18.2364
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",20-24,25.9603,2.5728,21.1634,31.4989
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",25-29,40.5551,3.3592,34.2386,47.6784
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",30-34,75.0562,4.8191,65.9073,85.0941
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",35-39,104.6097,6.0440,93.0977,117.1248
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",40-44,145.5990,7.4068,131.4421,160.8357
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",45-49,240.9064,9.5525,222.5451,260.3511
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",50-54,440.0262,12.8798,415.1412,465.9862
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",55-59,614.6464,16.3190,583.0742,647.4513
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",60-64,866.5284,21.9985,823.9434,910.7033
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",65-69,1162.3492,30.1155,1104.0663,1222.8521
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",70-74,1477.6812,41.7768,1396.9246,1561.8035
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",75-79,1569.2371,52.8807,1467.2908,1676.2691
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",80-84,1892.5109,73.6721,1750.8516,2042.3695
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",85+,1632.9236,73.6718,1491.7031,1783.6564
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",<1,26.0329,1.9037,22.4352,30.0433
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",1-4,18.9788,0.8085,17.4270,20.6318
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",5-9,10.0793,0.5219,9.0822,11.1559
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",10-14,12.7110,0.5914,11.5783,13.9247
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",15-19,19.3637,0.7226,17.9730,20.8334
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",20-24,26.9101,0.7881,25.3875,28.5002
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",25-29,41.8260,0.9182,40.0455,43.6652
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",30-34,71.3168,1.1971,68.9896,73.7026
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",35-39,112.7812,1.5515,109.7605,115.8639
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",40-44,186.2565,2.0062,182.3448,190.2309
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",45-49,284.6679,2.6048,279.5851,289.8199
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",50-54,402.7283,3.1847,396.5102,409.0195
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",55-59,537.9543,3.8523,530.4302,545.5585
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",60-64,745.0156,4.9318,735.3804,754.7456
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",65-69,1005.1733,6.4984,992.4766,1017.9920
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",70-74,1186.0076,8.4723,1169.4595,1202.7313
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",75-79,1370.9167,10.6314,1350.1578,1391.9150
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",80-84,1497.2824,13.3299,1471.2689,1523.6404
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Observed Rates",85+,1477.8360,13.2751,1451.9304,1504.0878
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",<1,26.9469,1.9710,23.2221,31.0936
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",1-4,19.6173,0.8359,18.0130,21.3249
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",5-9,10.4160,0.5394,9.3855,11.5278
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",10-14,13.1426,0.6116,11.9711,14.3966
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",15-19,20.0059,0.7467,18.5689,21.5236
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",20-24,27.7871,0.8139,26.2146,29.4285
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",25-29,43.1945,0.9484,41.3555,45.0936
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",30-34,73.6663,1.2368,71.2620,76.1303
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",35-39,116.4884,1.6028,113.3679,119.6723
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",40-44,192.3775,2.0725,188.3366,196.4825
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",45-49,294.0472,2.6911,288.7961,299.3691
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",50-54,416.5434,3.2946,410.1108,423.0507
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",55-59,556.3918,3.9850,548.6083,564.2571
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",60-64,770.8031,5.1035,760.8324,780.8705
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",65-69,1043.1032,6.7451,1029.9243,1056.4070
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",70-74,1229.8680,8.7876,1212.7042,1247.2116
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",75-79,1422.1247,11.0310,1400.5854,1443.9091
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",80-84,1551.9652,13.8197,1524.9959,1579.2872
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",85+,1530.6741,13.7524,1503.8370,1557.8654
"Both Sexes","Black (includes Hispanic)","Observed Rates",<1,19.9596,1.3161,17.4633,22.7127
"Both Sexes","Black (includes Hispanic)","Observed Rates",1-4,15.9093,0.5868,14.7798,17.1023
"Both Sexes","Black (includes Hispanic)","Observed Rates",5-9,10.0682,0.4163,9.2688,10.9182
"Both Sexes","Black (includes Hispanic)","Observed Rates",10-14,12.3221,0.4605,11.4360,13.2587
"Both Sexes","Black (includes Hispanic)","Observed Rates",15-19,16.6752,0.5226,15.6665,17.7318
"Both Sexes","Black (includes Hispanic)","Observed Rates",20-24,23.5236,0.5912,22.3789,24.7116
"Both Sexes","Black (includes Hispanic)","Observed Rates",25-29,42.7636,0.8409,41.1312,44.4443
"Both Sexes","Black (includes Hispanic)","Observed Rates",30-34,75.8105,1.1748,73.5252,78.1488
"Both Sexes","Black (includes Hispanic)","Observed Rates",35-39,125.6262,1.5739,122.5601,128.7496
"Both Sexes","Black (includes Hispanic)","Observed Rates",40-44,211.3316,2.0457,207.3409,215.3798
"Both Sexes","Black (includes Hispanic)","Observed Rates",45-49,357.4723,2.6277,352.3405,362.6602
"Both Sexes","Black (includes Hispanic)","Observed Rates",50-54,613.3746,3.4272,606.6757,620.1291
"Both Sexes","Black (includes Hispanic)","Observed Rates",55-59,946.6818,4.5020,937.8783,955.5474
"Both Sexes","Black (includes Hispanic)","Observed Rates",60-64,1355.1392,6.0552,1343.2970,1367.0599
"Both Sexes","Black (includes Hispanic)","Observed Rates",65-69,1754.8354,8.0079,1739.1747,1770.6019
"Both Sexes","Black (includes Hispanic)","Observed Rates",70-74,1932.6998,10.1610,1912.8353,1952.7192
"Both Sexes","Black (includes Hispanic)","Observed Rates",75-79,2027.2772,12.4542,2002.9401,2051.8363
"Both Sexes","Black (includes Hispanic)","Observed Rates",80-84,1987.0532,15.2061,1957.3603,2017.0838
"Both Sexes","Black (includes Hispanic)","Observed Rates",85+,1764.1989,14.4514,1735.9870,1792.7545
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",<1,20.4430,1.3481,17.8859,23.2607
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",1-4,16.3209,0.6021,15.1620,17.5443
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",5-9,10.3268,0.4270,9.5067,11.1983
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",10-14,12.6379,0.4724,11.7289,13.5981
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",15-19,17.1111,0.5364,16.0758,18.1951
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",20-24,24.1391,0.6068,22.9643,25.3580
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",25-29,43.8942,0.8633,42.2183,45.6191
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",30-34,77.7823,1.2056,75.4371,80.1813
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",35-39,128.8887,1.6150,125.7425,132.0932
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",40-44,216.6888,2.0979,212.5963,220.8397
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",45-49,366.5400,2.6947,361.2772,371.8597
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",50-54,629.8205,3.5196,622.9408,636.7567
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",55-59,972.4061,4.6252,963.3618,981.5136
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",60-64,1391.9513,6.2207,1379.7853,1404.1972
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",65-69,1806.7977,8.2467,1790.6701,1823.0333
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",70-74,1989.2984,10.4607,1968.8479,2009.9067
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",75-79,2087.3812,12.8260,2062.3174,2112.6713
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",80-84,2046.2626,15.6624,2015.6785,2077.1910
"Both Sexes","Black (includes Hispanic)","Delay-adjusted Rates",85+,1816.1948,14.8806,1787.1451,1845.5948
"Both Sexes","Hispanic (any race)","Observed Rates",<1,19.5102,0.9259,17.7374,21.4121
"Both Sexes","Hispanic (any race)","Observed Rates",1-4,20.3447,0.4703,19.4332,21.2879
"Both Sexes","Hispanic (any race)","Observed Rates",5-9,12.7683,0.3346,12.1208,13.4414
"Both Sexes","Hispanic (any race)","Observed Rates",10-14,15.2765,0.3764,14.5475,16.0325
"Both Sexes","Hispanic (any race)","Observed Rates",15-19,22.9041,0.4621,22.0073,23.8280
"Both Sexes","Hispanic (any race)","Observed Rates",20-24,33.1475,0.5452,32.0874,34.2337
"Both Sexes","Hispanic (any race)","Observed Rates",25-29,50.7195,0.6952,49.3659,52.1008
"Both Sexes","Hispanic (any race)","Observed Rates",30-34,77.1549,0.8722,75.4548,78.8837
"Both Sexes","Hispanic (any race)","Observed Rates",35-39,114.5134,1.1022,112.3632,116.6945
"Both Sexes","Hispanic (any race)","Observed Rates",40-44,177.3409,1.4206,174.5674,180.1474
"Both Sexes","Hispanic (any race)","Observed Rates",45-49,267.5284,1.8336,263.9464,271.1468
"Both Sexes","Hispanic (any race)","Observed Rates",50-54,430.7810,2.5040,425.8870,435.7172
"Both Sexes","Hispanic (any race)","Observed Rates",55-59,638.7643,3.4042,632.1094,645.4718
"Both Sexes","Hispanic (any race)","Observed Rates",60-64,908.2126,4.7078,899.0087,917.4873
"Both Sexes","Hispanic (any race)","Observed Rates",65-69,1266.7055,6.5514,1253.8971,1279.6121
"Both Sexes","Hispanic (any race)","Observed Rates",70-74,1494.5781,8.6267,1477.7174,1511.5832
"Both Sexes","Hispanic (any race)","Observed Rates",75-79,1693.9746,10.9091,1672.6597,1715.4932
"Both Sexes","Hispanic (any race)","Observed Rates",80-84,1766.9840,13.4587,1740.7028,1793.5628
"Both Sexes","Hispanic (any race)","Observed Rates",85+,1635.9591,13.3906,1609.8179,1662.4184
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",<1,19.8954,0.9445,18.0870,21.8347
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",1-4,20.7039,0.4787,19.7762,21.6638
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",5-9,12.9922,0.3405,12.3333,13.6771
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",10-14,15.5433,0.3831,14.8015,16.3125
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",15-19,23.2958,0.4700,22.3835,24.2355
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",20-24,33.7316,0.5550,32.6526,34.8371
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",25-29,51.6032,0.7075,50.2258,53.0087
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",30-34,78.4971,0.8875,76.7671,80.2561
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",35-39,116.5337,1.1219,114.3452,118.7534
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",40-44,180.3950,1.4453,177.5732,183.2502
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",45-49,272.0746,1.8651,268.4312,275.7549
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",50-54,438.6941,2.5505,433.7092,443.7217
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",55-59,650.5200,3.4675,643.7413,657.3519
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",60-64,924.9827,4.7957,915.6068,934.4302
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",65-69,1289.6340,6.6714,1276.5910,1302.7764
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",70-74,1521.9043,8.7865,1504.7311,1539.2237
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",75-79,1724.4602,11.1080,1702.7569,1746.3698
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",80-84,1797.6238,13.6948,1770.8814,1824.6670
"Both Sexes","Hispanic (any race)","Delay-adjusted Rates",85+,1664.6824,13.6286,1638.0766,1691.6100
"Both Sexes","Non-Hispanic White","Observed Rates",<1,26.9088,0.8980,25.1774,28.7279
"Both Sexes","Non-Hispanic White","Observed Rates",1-4,23.6228,0.4201,22.8065,24.4608
"Both Sexes","Non-Hispanic White","Observed Rates",5-9,13.9276,0.2833,13.3778,14.4941
"Both Sexes","Non-Hispanic White","Observed Rates",10-14,15.7350,0.2941,15.1638,16.3221
"Both Sexes","Non-Hispanic White","Observed Rates",15-19,26.8186,0.3741,26.0903,27.5622
"Both Sexes","Non-Hispanic White","Observed Rates",20-24,44.8896,0.4659,43.9810,45.8122
"Both Sexes","Non-Hispanic White","Observed Rates",25-29,71.2629,0.5809,70.1288,72.4108
"Both Sexes","Non-Hispanic White","Observed Rates",30-34,110.8750,0.7371,109.4349,112.3293
"Both Sexes","Non-Hispanic White","Observed Rates",35-39,160.7550,0.9223,158.9523,162.5729
"Both Sexes","Non-Hispanic White","Observed Rates",40-44,249.0972,1.1123,246.9219,251.2869
"Both Sexes","Non-Hispanic White","Observed Rates",45-49,383.3667,1.3064,380.8105,385.9358
"Both Sexes","Non-Hispanic White","Observed Rates",50-54,597.9212,1.5391,594.9084,600.9454
"Both Sexes","Non-Hispanic White","Observed Rates",55-59,857.6157,1.8466,854.0002,861.2427
"Both Sexes","Non-Hispanic White","Observed Rates",60-64,1202.4703,2.3195,1197.9284,1207.0252
"Both Sexes","Non-Hispanic White","Observed Rates",65-69,1667.1715,2.9735,1661.3485,1673.0098
"Both Sexes","Non-Hispanic White","Observed Rates",70-74,2045.7668,3.9009,2038.1283,2053.4268
"Both Sexes","Non-Hispanic White","Observed Rates",75-79,2324.4818,4.8907,2314.9060,2334.0874
"Both Sexes","Non-Hispanic White","Observed Rates",80-84,2419.3105,5.6869,2408.1771,2430.4827
"Both Sexes","Non-Hispanic White","Observed Rates",85+,2199.5319,5.0615,2189.6225,2209.4751
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",<1,27.3565,0.9129,25.5962,29.2054
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",1-4,24.0283,0.4273,23.1979,24.8806
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",5-9,14.1691,0.2882,13.6098,14.7454
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",10-14,16.0167,0.2994,15.4353,16.6143
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",15-19,27.2863,0.3807,26.5452,28.0428
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",20-24,45.6672,0.4740,44.7429,46.6058
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",25-29,72.5138,0.5912,71.3596,73.6818
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",30-34,112.8171,0.7501,111.3518,114.2968
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",35-39,163.5704,0.9385,161.7361,165.4202
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",40-44,253.3466,1.1313,251.1341,255.5737
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",45-49,389.9665,1.3289,387.3662,392.5799
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",50-54,608.7088,1.5669,605.6415,611.7878
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",55-59,873.4324,1.8808,869.7500,877.1265
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",60-64,1224.7781,2.3627,1220.1517,1229.4177
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",65-69,1700.0527,3.0324,1694.1144,1706.0064
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",70-74,2086.3543,3.9786,2078.5636,2094.1668
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",75-79,2370.2144,4.9873,2360.4494,2380.0095
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",80-84,2466.1405,5.7974,2454.7908,2477.5296
"Both Sexes","Non-Hispanic White","Delay-adjusted Rates",85+,2242.3660,5.1605,2232.2629,2252.5033
"Both Sexes","White (includes Hispanic)","Observed Rates",<1,24.4417,0.6789,23.1290,25.8096
"Both Sexes","White (includes Hispanic)","Observed Rates",1-4,22.8598,0.3273,22.2228,23.5104
"Both Sexes","White (includes Hispanic)","Observed Rates",5-9,13.7976,0.2253,13.3595,14.2463
"Both Sexes","White (includes Hispanic)","Observed Rates",10-14,15.8372,0.2398,15.3707,16.3142
"Both Sexes","White (includes Hispanic)","Observed Rates",15-19,26.0118,0.3021,25.4230,26.6109
"Both Sexes","White (includes Hispanic)","Observed Rates",20-24,41.5617,0.3700,40.8397,42.2933
"Both Sexes","White (includes Hispanic)","Observed Rates",25-29,65.7936,0.4666,64.8823,66.7145
"Both Sexes","White (includes Hispanic)","Observed Rates",30-34,101.7037,0.5896,100.5513,102.8660
"Both Sexes","White (includes Hispanic)","Observed Rates",35-39,147.8058,0.7374,146.3639,149.2583
"Both Sexes","White (includes Hispanic)","Observed Rates",40-44,230.5307,0.9087,228.7531,232.3187
"Both Sexes","White (includes Hispanic)","Observed Rates",45-49,357.1948,1.1001,355.0419,359.3576
"Both Sexes","White (includes Hispanic)","Observed Rates",50-54,567.0833,1.3456,564.4490,569.7268
"Both Sexes","White (includes Hispanic)","Observed Rates",55-59,823.8430,1.6563,820.5998,827.0959
"Both Sexes","White (includes Hispanic)","Observed Rates",60-64,1162.4741,2.1149,1158.3327,1166.6267
"Both Sexes","White (includes Hispanic)","Observed Rates",65-69,1619.2871,2.7450,1613.9113,1624.6763
"Both Sexes","White (includes Hispanic)","Observed Rates",70-74,1982.1174,3.6056,1975.0568,1989.1971
